Date,Open,High,Low,Close,Adj Close,Volume
2022-10-17,4200.000000,4330.000000,4200.000000,4330.000000,4155.131836,90321700
2022-10-18,4310.000000,4340.000000,4250.000000,4250.000000,4078.362793,72516000
2022-10-19,4220.000000,4300.000000,4200.000000,4200.000000,4030.382080,65848300
2022-10-20,4200.000000,4350.000000,4200.000000,4350.000000,4174.324219,165391500
2022-10-21,4300.000000,4390.000000,4300.000000,4360.000000,4183.920410,79825700
2022-10-24,4380.000000,4450.000000,4380.000000,4410.000000,4231.900879,76777200
2022-10-25,4430.000000,4470.000000,4390.000000,4390.000000,4212.708984,109154300
2022-10-26,4420.000000,4430.000000,4330.000000,4370.000000,4193.516602,97320500
2022-10-27,4390.000000,4410.000000,4340.000000,4370.000000,4193.516602,80270300
2022-10-28,4420.000000,4450.000000,4380.000000,4450.000000,4270.285645,91101500
2022-10-31,4460.000000,4460.000000,4360.000000,4390.000000,4212.708984,162753500
2022-11-01,4420.000000,4420.000000,4360.000000,4420.000000,4241.497070,108592900
2022-11-02,4400.000000,4420.000000,4220.000000,4220.000000,4049.574219,217855200
2022-11-03,4140.000000,4170.000000,4050.000000,4130.000000,3963.208984,231475000
2022-11-04,4070.000000,4210.000000,4070.000000,4210.000000,4039.978027,201183100
2022-11-07,4250.000000,4280.000000,4160.000000,4280.000000,4107.151367,129868800
2022-11-08,4270.000000,4280.000000,4200.000000,4220.000000,4049.574219,110546800
2022-11-09,4200.000000,4230.000000,4180.000000,4190.000000,4020.785889,145833200
2022-11-10,4110.000000,4210.000000,4110.000000,4170.000000,4001.593506,81249200
2022-11-11,4160.000000,4180.000000,4140.000000,4150.000000,3982.401123,227799300
2022-11-14,4090.000000,4120.000000,4030.000000,4050.000000,3886.439697,188771200
2022-11-15,4050.000000,4080.000000,4030.000000,4050.000000,3886.439697,88570400
2022-11-16,4000.000000,4070.000000,3960.000000,4050.000000,3886.439697,149512300
2022-11-17,4020.000000,4070.000000,4020.000000,4040.000000,3876.843506,68616700
2022-11-18,4070.000000,4080.000000,4010.000000,4010.000000,3848.055176,115907900
2022-11-21,4020.000000,4060.000000,4010.000000,4030.000000,3867.247559,45277400
2022-11-22,4020.000000,4040.000000,4000.000000,4000.000000,3838.458984,83888300
2022-11-23,3990.000000,4030.000000,3970.000000,3970.000000,3809.670654,95750400
2022-11-24,3980.000000,4040.000000,3980.000000,4030.000000,3867.247559,50741600
2022-11-25,4010.000000,4040.000000,3980.000000,4030.000000,3867.247559,73305800
2022-11-28,4030.000000,4040.000000,3980.000000,3980.000000,3819.266602,94063100
2022-11-29,3980.000000,4020.000000,3980.000000,3980.000000,3819.266602,94389800
2022-11-30,3970.000000,4050.000000,3970.000000,4040.000000,3876.843506,585687400
2022-12-01,4020.000000,4040.000000,3960.000000,3960.000000,3800.074463,230066600
2022-12-02,3950.000000,4020.000000,3930.000000,4000.000000,3838.458984,113336600
2022-12-05,3980.000000,3990.000000,3820.000000,3840.000000,3684.920654,148751200
2022-12-06,3640.000000,3720.000000,3580.000000,3600.000000,3454.613037,416468700
2022-12-07,3600.000000,3700.000000,3570.000000,3680.000000,3531.382324,278572200
2022-12-08,3700.000000,3780.000000,3620.000000,3740.000000,3588.959229,245646400
2022-12-09,3680.000000,3720.000000,3630.000000,3650.000000,3502.593750,164606100
2022-12-12,3670.000000,3710.000000,3640.000000,3700.000000,3550.574707,170545000
2022-12-13,3690.000000,3790.000000,3680.000000,3750.000000,3598.555420,231127000
2022-12-14,3820.000000,3820.000000,3740.000000,3750.000000,3598.555420,107175700
2022-12-15,3680.000000,3720.000000,3670.000000,3670.000000,3521.786133,143233600
2022-12-16,3610.000000,3740.000000,3610.000000,3680.000000,3531.382324,310944500
